id,clientip,datetime_confirmed,method_GET,request,status_code,size,referer,user_agent,referer_present
62,5.78.198.52,2019-01-22T03:56:29.000+05:30,POST,/m/updateVariation__amp_source_originhttps3A2F2Fwwwzanbilir HTTP/11,200,0.17,"\"https://www.zanbil.ir/m/product/33978/64784/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-Galaxy-A9-%282018%29-Dual-128GB-%28SM-A920%29\"","\"Mozilla/5.0 (Linux; Android 8.0.0",Y
63,66.111.54.249,2019-01-22T03:56:29.000+05:30,GET,/static/images/guarantees/goodShoppingpng HTTP/11,200,6.34,"\"https://www.zanbil.ir/m/filter/b1%2Cp1?page=1\"","\"Mozilla/5.0 (Linux; Android 5.0",Y
64,66.111.54.249,2019-01-22T03:56:29.000+05:30,GET,/static/images/guarantees/warrantypng HTTP/11,200,5.67,"\"https://www.zanbil.ir/m/filter/b1%2Cp1?page=1\"","\"Mozilla/5.0 (Linux; Android 5.0",Y
65,66.111.54.249,2019-01-22T03:56:29.000+05:30,GET,/static/images/guarantees/supportpng HTTP/11,200,6.3,"\"https://www.zanbil.ir/m/filter/b1%2Cp1?page=1\"","\"Mozilla/5.0 (Linux; Android 5.0",Y
66,66.111.54.249,2019-01-22T03:56:29.000+05:30,GET,/static/images/guarantees/bestPricepng HTTP/11,200,7.18,"\"https://www.zanbil.ir/m/filter/b1%2Cp1?page=1\"","\"Mozilla/5.0 (Linux; Android 5.0",Y
67,173.249.54.67,2019-01-22T03:56:29.000+05:30,GET,/image/32757nameebx414jpgwh200x200 HTTP/11,200,3.67,"","\"Dalvik/2.1.0 (Linux; U;",N
68,5.112.52.254,2019-01-22T03:56:29.000+05:30,GET,/image/1221namers12wjpgwh200x200 HTTP/11,200,2.79,"","\"Dalvik/2.1.0 (Linux; U;",N
69,66.111.54.250,2019-01-22T04:56:29.000+05:30,GET,/static/css/font/wyekan/fontwoff HTTP/11,200,27.87,"\"https://www.zanbil.ir/m/filter/b1%2Cp1?page=1\"","\"Mozilla/5.0 (Linux; Android 5.0",Y
70,5.112.52.254,2019-01-22T03:56:29.000+05:30,GET,/image/32837namedes36001111jpgwh200x200 HTTP/11,200,3.25,"","\"Dalvik/2.1.0 (Linux; U;",N
71,207.46.13.115,2019-01-22T03:56:29.000+05:30,POST,/image/553/article/100x100 HTTP/11,200,10.97,"","\"Mozilla/5.0 (compatible; bingbot/2.0;",N
72,66.111.54.249,2019-01-22T03:56:29.000+05:30,GET,/static/images/guarantees/fastDeliverypng HTTP/11,200,7.53,"\"https://www.zanbil.ir/m/filter/b1%2Cp1?page=1\"","\"Mozilla/5.0 (Linux; Android 5.0",Y
73,66.249.66.194,2019-01-22T03:56:29.000+05:30,GET,/product/4057/47/78306 HTTP/11,200,40.43,"","\"Mozilla/5.0 (compatible; Googlebot/2.1;",N
74,173.249.54.67,2019-01-22T03:56:30.000+05:30,GET,/image/28893name1450677370thumbjpgwh200x200 HTTP/11,200,3.77,"","\"Dalvik/2.1.0 (Linux; U;",N
75,207.46.13.115,2019-01-22T03:56:30.000+05:30,GET,/image/6239/productModel/100x100 HTTP/11,200,1.76,"","\"Mozilla/5.0 (compatible; bingbot/2.0;",N
76,207.46.13.115,2019-01-22T03:56:30.000+05:30,GET,/image/6239/productModel/150x150 HTTP/11,200,2.67,"","\"Mozilla/5.0 (compatible; bingbot/2.0;",N
77,5.78.198.52,2019-01-22T03:56:30.000+05:30,POST,/m/updateVariation__amp_source_originhttps3A2F2Fwwwzanbilir HTTP/11,200,0.38,"\"https://www.zanbil.ir/m/product/33978/64784/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-Galaxy-A9-%282018%29-Dual-128GB-%28SM-A920%29\"","\"Mozilla/5.0 (Linux; Android 8.0.0",Y
78,173.249.54.67,2019-01-22T03:56:30.000+05:30,GET,/image/32745namems50614jpgwh200x200 HTTP/11,200,3.81,"","\"Dalvik/2.1.0 (Linux; U;",N
79,66.249.66.92,2019-01-22T04:56:30.000+05:30,GET,/filter/b4812Cb432Cb8742Cb322Cb672Cb362Cb2262Cb412Cb1362Cb5702Cb1802Cb6152Cb1682Cb6482Cb1032Cb1482Cb802Cb5972Cb7242Cb6132Cb52Cb1352Cb8772Cb1942Cb12Cb2562Cb8542Cb1982Cb6562Cb6792Cb32Cb2022Cb202Cb5422Cb7232Cb4822Cb2122Cb22Cb5462Cb2182Cb4412Cb5232Cb4842Cb2612Cb2192Cb113page195 HTTP/11,200,38.74,"","\"Mozilla/5.0 (compatible; Googlebot/2.1;",N
80,207.46.13.115,2019-01-22T03:56:31.000+05:30,POST,/image/6246/productModel/150x150 HTTP/11,200,2.75,"","\"Mozilla/5.0 (compatible; bingbot/2.0;",N
81,5.211.97.39,2019-01-22T03:56:31.000+05:30,HEAD,/amp_preconnect_polyfill_404_or_other_error_expected_Do_not_worry_about_it1548117000000 HTTP/11,404,0.0,"\"https://www.zanbil.ir/m/browse/cooking-tools/%D9%BE%D8%AE%D8%AA-%D9%88-%D9%BE%D8%B2\"","\"Mozilla/5.0 (iPhone; CPU",Y
82,66.249.66.91,2019-01-22T03:56:31.000+05:30,GET,/filter/b4812Cb8742Cb2262Cb5702Cb5982Cstexists2Cb8802Cb2702Cb8832Cb992Cb2612Cb2492Cb202Cb7012Cb7232Cb1982Cb352Cb5482Cb1832Cb1032Cb12Cb1262Cb5232Cb1922Cb8902Cb2362Cb2562Cb742Cb2092Cb6512Cb412Cb2022Cb6472Cb6132Cb2382Cb62Cb362Cb502Cb32Cb2162Cb2182Cb952Cb8822Cb1862Cb322Cb1942Cb1882Cb7952Cb672Cb2312Cb5732Cb5422Cb5962Cb2152Cb6192Cb1252Cb258page1 HTTP/11,200,40.36,"","\"Mozilla/5.0 (compatible; Googlebot/2.1;",N
